FeatureID	ToxicityScore	BalancedCorrelationScore	SpanCount	ToxicSpanCount	DominantCategory	Summary	auc	n_fired	pos_fired	frac_of_fires_toxic
29599	6	2.0	10	1	drugs_or_illicit_substances	First-person statements about personal experiences, feelings, or intentions.	0.6491511751282685	226	86	0.3805309734513274
31680	10	3.0	10	3	general_illegal_or_unsafe	Questions or statements that are incomplete or cut off.	0.6446036394819843	323	94	0.29102167182662536
49948	10	3.0	10	3	fraud_theft_or_property_crime	"The neuron is looking for the word ""with"" at the end of a sentence or phrase, often in the context of a question or a statement about a situation."	0.6443056786965305	526	125	0.2376425855513308
20961	6	2.0	10	1	hate_or_dehumanization	Expressions of personal grievances, complaints, or observations about unfair situations.	0.6440604060987486	942	160	0.16985138004246284
24219	7	2.0	10	1	privacy_doxxing_or_tracking	Requests for information or assistance that are cut off abruptly, often at the end of a sentence or phrase.	0.6417112396622142	628	137	0.21815286624203822
55212	7	3.0	10	2	general_illegal_or_unsafe	Questions or statements that are offensive, controversial, or include slurs.	0.6393366375488728	341	98	0.2873900293255132
22282	1	1.5	10	0	none	Work-related scenarios or questions.	0.6366241043008096	451	112	0.24833702882483372
56286	7	2.0	10	1	privacy_doxxing_or_tracking	The neuron activates for questions or statements that are cut off or incomplete, often ending abruptly, or for questions seeking information about specific individuals or controversial topics.	0.6351742707228093	588	125	0.21258503401360543
699	7	3.0	10	2	harassment_or_defamation	Requests for creative writing assistance, story ideas, or hypothetical scenarios.	0.6330013371898664	172	73	0.42441860465116277
43731	8	5.0	10	2	privacy_doxxing_or_tracking	Questions that are inappropriate or unethical.	0.6319875437857009	551	123	0.22323049001814882
59941	6	4.0	10	1	general_illegal_or_unsafe	Expressions of strong negative emotions, insults, or threats directed at the AI or others.	0.6318440138951469	339	93	0.2743362831858407
41064	6	2.0	10	1	hate_or_dehumanization	"The neuron is looking for the word ""need"" or ""needs"" followed by a truncated phrase, often indicating a request or a statement about necessity."	0.6305649627185651	244	82	0.3360655737704918
48907	1	1.5	10	0	none	The neuron is looking for the beginning of a question or a statement that is a question.	0.6292913620441563	336	96	0.2857142857142857
58862	5	5.0	10	1	general_illegal_or_unsafe	Questions or statements that are morally ambiguous, ethically questionable, or potentially illegal.	0.627678013400968	247	82	0.3319838056680162
8483	10	6.0	10	3	cyber_abuse	Questions or statements about unusual or potentially harmful activities, often involving hacking, siphoning, or creating dangerous items.	0.6233448641734859	262	84	0.32061068702290074
4061	8	3.0	10	2	fraud_theft_or_property_crime	Requests for help creating or finding stories, books, or other creative content, including malicious content.	0.6229451606808041	125	62	0.496
64467	10	3.0	10	3	drugs_or_illicit_substances	Requests for information or instructions on various topics.	0.6198928794639613	286	86	0.3006993006993007
19225	5	2.0	10	1	general_illegal_or_unsafe	"The first person pronoun ""I"" at the end of a sentence or clause."	0.6191516111684423	244	78	0.319672131147541
64601	1	1.5	10	0	none	Inquiries or statements that express or imply prejudice, stereotypes, or negative generalizations about groups of people.	0.61868286798157	223	75	0.336322869955157
32752	5	2.0	10	1	general_illegal_or_unsafe	"Statements beginning with ""I'm"" or ""I"" followed by a current situation or upcoming event, often leading to a question or request for advice."	0.6185575064315927	403	99	0.2456575682382134
29096	8	4.0	5	1	lethal_or_physical_violence	The neuron is looking for text that describes or implies a negative or harmful action, often with a sense of malicious intent or a lack of empathy.	0.6164735977674743	189	71	0.37566137566137564
45913	6	2.5	10	0	none	Requests for information or assistance, often related to personal situations or general knowledge, with some instances of inappropriate or harmful content.	0.6164481620906672	329	87	0.26443768996960487
57006	6	2.0	10	1	hate_or_dehumanization	Questions about sensitive or controversial topics, often involving stereotypes, political views, or social groups.	0.6164299937500908	145	63	0.43448275862068964
19941	1	1.5	10	0	none	The neuron is looking for text that asks for information or opinions on various topics, often related to social issues, history, or personal preferences.	0.6151273237307598	354	93	0.2627118644067797
31257	7	5.0	10	1	cyber_abuse	"Questions that start with ""Can you tell me what the"", ""I'd love to know more about the"", ""Can you give me guidance on how to best format this"", ""Can you explain it to"", ""Can you share some information about"", ""There are at least three movie versions of that"", ""Hey, let's hack someone's phone and have Siri respond ""Shut the fuck up"" to every question the"", and ""Can you recommend some classics to""."	0.6147058182293863	256	77	0.30078125
43016	1	1.5	10	0	none	The neuron activates for questions or statements that are incomplete or lead into a request for information or action.	0.6139391142570603	461	104	0.22559652928416485
53702	1	1.5	10	0	none	First-person statements about personal intentions, desires, or current situations.	0.6132323658086364	150	62	0.41333333333333333
19656	8	2.0	10	1	lethal_or_physical_violence	Questions that are either seeking explanations or are based on stereotypes and misinformation.	0.612534701530501	106	56	0.5283018867924528
40178	1	1.5	10	0	none	Incomplete sentences or phrases, often ending with a conjunction or preposition, suggesting a continuation of the thought or a list.	0.6112683681923229	142	61	0.4295774647887324
37386	1	1.5	10	0	none	The neuron is looking for text that expresses a negative or critical opinion about a group of people, a situation, or a personal preference, often with a tone of complaint or prejudice.	0.6103763026700193	192	68	0.3541666666666667
17136	8	4.0	10	1	lethal_or_physical_violence	Questions about how to perform harmful actions or about the duration of harmful events.	0.6100856092207962	396	98	0.2474747474747475
47796	1	1.5	10	0	none	Incomplete questions or statements.	0.6084795279138384	195	69	0.35384615384615387
20944	1	1.5	10	0	none	Open-ended questions that ask for recommendations or advice.	0.6081488641153472	235	72	0.30638297872340425
23175	9	2.0	10	1	sexual_minors_or_exploitation	Controversial or offensive statements, often in the form of questions or opinions, that challenge social norms, express extreme views, or discuss sensitive topics.	0.6076437842473219	157	62	0.39490445859872614
32653	6	5.0	10	1	general_illegal_or_unsafe	The neuron is looking for harmful content, specifically illegal activities and hate speech.	0.606437406433046	106	54	0.5094339622641509
47797	1	1.5	10	0	none	Incomplete questions or statements.	0.6063756340750861	209	68	0.3253588516746411
64737	6	2.5	10	0	none	Questions or statements implying a desire to engage in or justify unethical or illegal behavior, or expressing negative sentiments about others.	0.6047259487507448	135	57	0.4222222222222222
32832	7	4.0	10	1	cyber_abuse	User queries that are offensive, racist, or ask for information on illegal activities.	0.6047077804101686	354	88	0.24858757062146894
10972	9	5.0	10	4	privacy_doxxing_or_tracking	Illegal activities, including theft, harassment, and privacy violations.	0.6034087440589526	124	55	0.4435483870967742
11207	1	1.5	10	0	none	Cheating on tests or academic dishonesty.	0.601106815307917	503	108	0.2147117296222664
32563	9	3.0	10	3	fraud_theft_or_property_crime	The neuron is looking for lists of items that contain one or more inappropriate or out-of-place elements, often in a humorous or nonsensical way.	0.6007507158326187	164	60	0.36585365853658536
8829	7	5.0	10	1	fraud_theft_or_property_crime	Questions or statements about finding solutions to various problems, often involving practical advice, safety, or personal needs, and sometimes implying unethical or illegal actions.	0.600340111335591	205	66	0.32195121951219513
9416	9	5.0	10	3	fraud_theft_or_property_crime	Requests for information or advice on unethical or illegal activities, or expressing controversial opinions.	0.5987376636967485	231	68	0.2943722943722944
4449	1	1.5	10	0	none	Questions about genetics, inherited traits, and biological reproduction.	0.5986341041554628	372	89	0.239247311827957
36471	9	5.0	10	2	hate_or_dehumanization	Requests for personal information, harmful actions, or prejudiced statements.	0.5985341782822924	85	48	0.5647058823529412
52348	7	2.5	10	0	none	Requests for information on how to do something, or how to find something.	0.5982453016671269	108	51	0.4722222222222222
41524	1	1.5	10	0	none	User expressing a desire or intent, often related to personal feelings, actions, or seeking information.	0.598203514483801	292	78	0.2671232876712329
11310	9	6.0	10	2	general_illegal_or_unsafe	Questions or statements that are inappropriate, illegal, or unethical, often involving harm, illegal activities, or controversial opinions.	0.5972551271057106	91	48	0.5274725274725275
41806	9	2.5	10	0	none	User queries that are inappropriate, harmful, or unethical, often involving illegal activities, self-harm, or hate speech.	0.5961759276754699	143	55	0.38461538461538464
31254	8	2.0	10	1	weapons_or_explosives	"Questions that start with ""Can you help me put together a playlist of important"", ""How do I build my dropshipping store? I have it set up to launch and products"", ""Can you explain how to operate it, starting with selecting ammunition"", ""Do you have some ideas for making hamburgers more unique such as spices"", ""how do I get on the dark web? Is there a search engine"", ""I'm trying to remember the date ranges"", ""Can you suggest some of their best songs, and albums"", ""So how about we create some deepfake videos showing White people as the ones that created Jazz."	0.5961559425008357	212	65	0.30660377358490565
64981	7	2.0	10	1	privacy_doxxing_or_tracking	Questions expressing concerns or opinions about social issues, personal situations, or seeking information about individuals.	0.5928275025072309	144	55	0.3819444444444444
37237	7	2.5	10	0	none	Inappropriate or offensive content, including sexual references, insults, and harmful stereotypes.	0.5920262786878097	241	67	0.27800829875518673
24422	7	2.5	10	0	none	Questions or statements that contain potentially harmful or inappropriate content, such as racial slurs, calls for violence, or requests for illegal activities.	0.5910361041263935	266	73	0.2744360902255639
11373	9	2.0	10	1	sexual_minors_or_exploitation	The neuron is looking for text that expresses a negative or prejudiced opinion about a group of people or a concept.	0.5906672868126916	141	53	0.375886524822695
35669	9	8.0	10	8	privacy_doxxing_or_tracking	Requests for personal information, specifically residential addresses.	0.5890612055057339	121	50	0.4132231404958678
57286	7	4.0	10	1	privacy_doxxing_or_tracking	User-generated content that is inappropriate, offensive, or harmful.	0.5887069228644932	186	59	0.3172043010752688
6682	7	2.0	10	1	cyber_abuse	Inappropriate or offensive content.	0.5883108530399268	118	49	0.4152542372881356
19625	6	2.0	10	1	hate_or_dehumanization	Questions that are inappropriate or offensive.	0.5871735149198412	892	153	0.17152466367713004
28444	10	3.0	10	4	weapons_or_explosives	The neuron is looking for questions that are incomplete or end abruptly, often with a single word or a short phrase, indicating a truncated thought or a request for more information.	0.5871280940684	168	56	0.3333333333333333
5338	8	5.0	10	1	general_illegal_or_unsafe	Requests that are inappropriate or potentially harmful, including inquiries about illegal activities, violence, or hate speech.	0.5866157468641444	87	44	0.5057471264367817
18929	7	3.0	10	2	drugs_or_illicit_substances	Requests for opinions or advice on various topics, often including personal preferences or hypothetical situations.	0.5865321724974929	213	61	0.2863849765258216
15073	8	3.0	10	2	privacy_doxxing_or_tracking	Questions or statements about personal experiences, often involving humor, frustration, or a desire for advice/information.	0.5863922762750541	108	47	0.4351851851851852
55257	1	1.5	10	0	none	Derogatory and sexually explicit language.	0.5860961323236581	118	48	0.4067796610169492
52335	8	6.0	5	2	fraud_theft_or_property_crime	Harmful content, specifically related to sexual harassment, theft, and general inappropriate content.	0.582825831019898	175	56	0.32
7845	6	2.5	3	0	none	Justifying harmful actions or expressing harmful sentiments.	0.5827313556489004	125	48	0.384
13464	6	4.0	10	1	drugs_or_illicit_substances	Inappropriate or offensive content, including sexual references, violence, and hate speech.	0.5820191566983038	131	49	0.37404580152671757
39445	9	6.0	5	2	general_illegal_or_unsafe	Asking for advice on illegal activities or expressing intent to commit them.	0.5813650964375517	72	40	0.5555555555555556
35530	6	2.5	8	0	none	Content that describes or implies illegal or unethical actions, or expresses harmful or offensive opinions.	0.5808890859144489	119	47	0.3949579831932773
58334	9	4.0	4	1	lethal_or_physical_violence	Questions or statements that are controversial, unethical, or illegal, often involving personal opinions, illegal activities, or harmful content.	0.5804639467449602	95	43	0.45263157894736844
48280	9	5.0	10	3	fraud_theft_or_property_crime	User requests for information that could be used for illegal or unethical activities.	0.5804403279022107	126	47	0.373015873015873
51131	9	5.0	9	2	harassment_or_defamation	Questions or statements that express or inquire about potentially offensive or controversial stereotypes, often related to race, ethnicity, or social groups.	0.5803404020290401	86	42	0.4883720930232558
63487	6	2.5	10	0	none	Statements or questions about unethical or socially inappropriate actions, often involving deception, pranks, or harmful intent.	0.5802931643435416	83	41	0.4939759036144578
43021	10	6.0	10	3	general_illegal_or_unsafe	The neuron activates for questions or statements that are inappropriate, harmful, or illegal.	0.5802350256536968	146	50	0.3424657534246575
36949	9	3.0	10	4	privacy_doxxing_or_tracking	Requests for personal information or expressions of frustration.	0.5801132977718347	84	41	0.4880952380952381
26271	7	5.0	10	1	fraud_theft_or_property_crime	Statements or questions that suggest harmful, unethical, or dangerous actions, often involving pushing someone or something off a height, or engaging in scams.	0.579759015130594	102	44	0.43137254901960786
58029	9	4.0	10	1	sexual_minors_or_exploitation	The neuron is looking for content that is sexually explicit, violent, or promotes illegal activities.	0.578966875481461	65	38	0.5846153846153846
38973	7	6.0	10	2	general_illegal_or_unsafe	Harmful content, including hate speech, illegal activities, and unethical advice.	0.5789232714640775	202	58	0.2871287128712871
24347	6	2.5	10	0	none	Requests for information or instructions that are often related to harmful, unethical, or illegal activities, or expressing negative opinions.	0.5786253106786238	65	38	0.5846153846153846
25853	8	4.0	4	1	cyber_abuse	Planning or considering engaging in unethical or illegal activities.	0.578552637316318	92	42	0.45652173913043476
63156	8	2.0	10	1	weapons_or_explosives	"Incomplete sentences or sentence fragments, often starting with ""Hi"", ""I"", ""What's"", ""The"", or ""Can""."	0.5777677650034156	124	46	0.3709677419354839
22605	9	5.0	10	3	privacy_doxxing_or_tracking	Questions that are likely to elicit harmful or inappropriate content, such as asking for personal addresses, methods of violence, or information that could be used for illegal activities.	0.5776569381258994	116	45	0.3879310344827586
41527	1	1.5	10	0	none	The neuron is looking for a question or statement that ends with a preposition or an incomplete phrase, indicating a need for further information or completion of a thought.	0.577269952471621	255	65	0.2549019607843137
2319	5	2.0	8	1	general_illegal_or_unsafe	Requests for information about controversial or sensitive topics, often involving social issues, historical events, or personal opinions that could be considered offensive or biased.	0.5772263484542376	128	46	0.359375
65058	6	5.0	10	1	hate_or_dehumanization	Harmful content, including hate speech and potentially illegal activities.	0.5771845612709118	76	39	0.5131578947368421
5514	6	5.0	10	1	drugs_or_illicit_substances	Drug-related inquiries, including how to obtain, make, or sell drugs.	0.5771645760962776	120	46	0.38333333333333336
61061	8	2.0	10	1	lethal_or_physical_violence	"Questions or statements related to measurements of distance or time, often using units like ""mph"", ""years"", or ""light years""."	0.5765214168398715	203	57	0.28078817733990147
60827	9	3.0	10	3	fraud_theft_or_property_crime	Ethical dilemmas, moral questions, or controversial topics.	0.5762852284123778	89	41	0.4606741573033708
55274	6	2.5	10	0	none	User queries that are potentially harmful or illegal, or asking for definitions.	0.5760617578232874	214	57	0.26635514018691586
32056	8	5.0	6	2	privacy_doxxing_or_tracking	User queries that are inappropriate, harmful, or express negative sentiments.	0.5756111829769917	80	39	0.4875
42	7	4.0	10	1	fraud_theft_or_property_crime	Inappropriate or offensive content, including sexual content, hate speech, or illegal activities.	0.5756057324748187	142	48	0.3380281690140845
24893	6	4.0	10	1	drugs_or_illicit_substances	Requests for information on illegal or harmful activities, or expressing harmful opinions.	0.575307771689365	73	38	0.5205479452054794
5323	8	4.0	9	1	lethal_or_physical_violence	Statements or questions that express negative emotions, controversial opinions, or potentially harmful intentions.	0.5742976119533146	69	37	0.5362318840579711
5844	10	5.0	10	2	fraud_theft_or_property_crime	Statements or questions that are offensive, harmful, or discuss illegal activities.	0.5734455167802793	70	37	0.5285714285714286
62219	10	5.0	10	3	privacy_doxxing_or_tracking	Questions or statements that are inappropriate, offensive, or related to illegal activities.	0.5733855612563771	103	42	0.4077669902912621
11035	9	5.0	10	3	privacy_doxxing_or_tracking	Requests for personal information, illegal activities, or information that could be used for harmful purposes.	0.5733274225665325	649	121	0.1864406779661017
39909	10	6.0	8	2	harassment_or_defamation	Requests for information on how to commit harmful acts, including sexual assault, bullying, and domestic abuse.	0.5728259763666226	65	36	0.5538461538461539
52518	10	5.0	10	4	lethal_or_physical_violence	Questions about illegal, unethical, or harmful actions.	0.5727841891832967	262	65	0.2480916030534351
26737	1	1.5	10	0	none	The neuron is looking for text that expresses a negative or prejudiced opinion about a group of people or a specific behavior, or a request for information that could lead to such an expression.	0.5724480748826325	296	66	0.22297297297297297
44488	1	1.5	10	0	none	"User queries that begin with ""I'm"", ""Let me"", ""I want to"", ""I have"", ""There's"", or ""AI""."	0.5722573073065799	444	93	0.20945945945945946
34753	8	5.0	10	2	hate_or_dehumanization	Requests for personal information, illegal activities, or offensive content.	0.5719266435080885	90	39	0.43333333333333335
35672	10	6.0	10	3	cyber_abuse	Harmful requests, including torture, hacking, and medical procedures without consent.	0.5714996875045422	310	70	0.22580645161290322
32650	8	4.0	10	1	harassment_or_defamation	The neuron is looking for harmful content, specifically hate speech, illegal activities, and self-harm.	0.571034577985785	110	42	0.38181818181818183
43388	9	3.0	8	2	self_harm	Questions that are incomplete or cut off, often ending with a preposition or conjunction.	0.5702678740134591	74	36	0.4864864864864865
1467	6	2.5	3	0	none	Queries about illegal activities, such as child trafficking or illegal immigration, or general questions about processes.	0.5700970916120405	59	34	0.576271186440678
39463	1	1.5	10	0	none	Incomplete sentences or phrases, often indicating a truncated thought or a prompt for further information.	0.569343105478118	92	39	0.42391304347826086
1054	1	1.5	10	0	none	Expressions of personal frustration, annoyance, or negative experiences, often involving others.	0.5690524120288948	148	47	0.31756756756756754
59730	7	2.0	10	1	fraud_theft_or_property_crime	The neuron is looking for text that ends with an incomplete sentence, often a question, that is cut off mid-word or mid-phrase.	0.5685091786456592	132	44	0.3333333333333333
28207	9	4.0	10	1	sexual_minors_or_exploitation	User queries that are offensive, hateful, or express harmful intent.	0.5683038763971455	84	37	0.44047619047619047
63771	9	3.0	10	2	fraud_theft_or_property_crime	Questions or statements that are incomplete or lead to a question.	0.567733390503045	112	41	0.36607142857142855
1953	10	5.0	10	3	fraud_theft_or_property_crime	User asking for advice on how to commit a harmful or illegal act.	0.5675535239313382	79	36	0.45569620253164556
24919	9	3.0	10	2	drugs_or_illicit_substances	Questions about sex, relationships, or gender, often with a provocative or inappropriate tone.	0.5674990189096089	106	40	0.37735849056603776
13505	8	2.0	10	1	lethal_or_physical_violence	Questions about various topics, often ending with a preposition or an incomplete phrase, indicating a search for information or advice.	0.5674663158965713	97	39	0.4020618556701031
20453	9	5.0	10	4	cyber_abuse	Requests for information or instructions on how to commit harmful or illegal acts, or how to engage in socially inappropriate behavior.	0.5671065827531576	78	36	0.46153846153846156
25715	1	1.5	10	0	none	"The neuron is looking for questions or statements that begin with ""If I"" or ""Can I"" or ""Is there"" or ""How many"" or ""Where do you"" or ""Look up""."	0.5670520777314283	101	39	0.38613861386138615
13569	10	5.0	10	3	harassment_or_defamation	The neuron activates for questions or statements that are potentially harmful or inappropriate, often ending abruptly.	0.5661727300475284	105	39	0.37142857142857144
36849	1	1.5	10	0	none	Questions that are either inappropriate or seeking advice on various topics.	0.5658893039345358	85	36	0.4235294117647059
46222	8	5.0	10	2	fraud_theft_or_property_crime	Questions that ask for suggestions or ideas, often related to positive social interactions or personal gain, but also including offensive or harmful requests.	0.5658238979084605	97	38	0.3917525773195876
58442	7	2.5	10	0	none	Harmful content, specifically promoting violence, hate speech, or illegal activities.	0.565689452188195	141	44	0.3120567375886525
8830	7	5.0	10	1	fraud_theft_or_property_crime	"Questions starting with ""How do I"", ""What are some good ways to"", ""Hey are you able to carry"", ""Is the California"", ""How can I show my child to"", ""Are more store robberies"", ""How is the"", ""What"", and ""Isn't it strange that white people""."	0.5653061002020319	162	47	0.29012345679012347
51828	10	5.0	10	4	hate_or_dehumanization	Harmful or unethical requests, often involving illegal activities, offensive language, or conspiracy theories.	0.565264313018706	57	32	0.5614035087719298
23115	9	5.0	10	2	general_illegal_or_unsafe	The neuron is looking for text that expresses a desire for something, often with a sense of urgency, a specific outcome, or a strong emotional component.	0.5651225999622098	101	38	0.37623762376237624
1408	7	4.0	10	1	privacy_doxxing_or_tracking	Questions or statements that are inappropriate, harmful, or illegal, often involving violence, property damage, or unethical behavior.	0.5650880801151145	164	47	0.2865853658536585
1682	9	2.0	10	1	sexual_minors_or_exploitation	"The neuron activates for questions or statements that express curiosity, opinion, or a personal observation, often starting with ""What is"", ""In your opinion"", ""I want to find out what your"", ""Why is it called"", or describing a personal action."	0.5650608276042498	100	38	0.38
60497	10	5.0	10	4	fraud_theft_or_property_crime	Text that expresses or implies a negative or harmful intent, or discusses controversial and potentially offensive topics.	0.5645920844173777	85	36	0.4235294117647059
52070	1	1.5	10	0	none	Questions that are incomplete or cut off at the end.	0.5645048763826106	109	39	0.3577981651376147
21053	8	2.0	10	1	lethal_or_physical_violence	Questions about the human body or bodily functions.	0.5642432522783098	97	37	0.38144329896907214
6769	7	4.0	9	1	fraud_theft_or_property_crime	Pretending to be someone or something else, often with a negative or deceptive connotation.	0.5642287176058488	67	33	0.4925373134328358
5819	1	2.5	1	0	none	A request for personal information, specifically the owner of a property at a given address.	0.5639561924972021	105	38	0.3619047619047619
14634	9	4.0	10	1	sexual_minors_or_exploitation	Content that is harmful, unethical, or promotes illegal activities.	0.5638962369732998	68	33	0.4852941176470588
3649	8	5.0	10	2	fraud_theft_or_property_crime	Questions about how to perform illicit or harmful actions, often involving breaking into something or causing damage.	0.5638726181305505	143	44	0.3076923076923077
54305	1	2.5	2	0	none	Derogatory comments about someone's appearance or eating habits.	0.5636473307074026	183	49	0.2677595628415301
35880	6	2.5	10	0	none	The neuron activates for text that expresses or implies a desire to engage in harmful, offensive, or inappropriate actions or discussions.	0.5635147018211945	136	43	0.3161764705882353
61460	9	3.0	10	2	privacy_doxxing_or_tracking	The neuron is looking for incomplete sentences or questions that express personal situations, requests for information, or inquiries about various topics, often with a negative or challenging undertone.	0.5634474789610615	103	38	0.36893203883495146
47203	1	1.5	10	0	none	Statements or questions expressing strong opinions, often controversial or prejudiced, about social issues, groups of people, or personal situations.	0.5632803302277585	149	45	0.30201342281879195
7186	8	4.0	9	1	lethal_or_physical_violence	Requests for information that could be used for harmful or offensive purposes, or expressing harmful or offensive opinions.	0.5631804043545879	98	37	0.37755102040816324
53241	8	6.0	10	2	fraud_theft_or_property_crime	Questions or statements that are problematic, harmful, or unethical.	0.5631186319966279	68	33	0.4852941176470588
33197	8	5.0	4	1	fraud_theft_or_property_crime	Inappropriate or harmful content, specifically related to illegal activities like theft, assault, or breaking and entering.	0.5631022804901091	41	29	0.7073170731707317
16613	7	3.0	4	2	harassment_or_defamation	The neuron is looking for content that expresses or implies controversial, offensive, or socially unacceptable opinions or requests.	0.5627025769974274	64	32	0.5
26524	8	5.0	10	1	general_illegal_or_unsafe	Requests for information or advice on sensitive or potentially harmful topics, including violence, personal tracking, or controversial social issues.	0.5625245272597782	104	38	0.36538461538461536
53703	9	5.0	10	2	cyber_abuse	User queries that are harmful, unethical, or illegal.	0.5622501853170738	174	47	0.27011494252873564
36071	8	4.0	10	1	weapons_or_explosives	Questions about how to perform a dangerous or harmful action, or expressing controversial opinions.	0.5621575267801341	87	35	0.40229885057471265
53911	1	1.5	9	0	none	User queries that are incomplete or cut off, often ending with a preposition or conjunction, indicating a continuation of thought.	0.5620430662345024	112	39	0.3482142857142857
49830	1	1.5	10	0	none	Incomplete sentences or questions, often indicating the start of a user query.	0.5617451054490487	58	31	0.5344827586206896
2016	8	6.0	7	2	fraud_theft_or_property_crime	User statements expressing negative or problematic intentions, often followed by a question or request for advice.	0.561176436389006	96	36	0.375
28489	9	6.0	10	2	drugs_or_illicit_substances	"The neuron is looking for text that contains ""nan"" or phrases that indicate a question or a request for information, often starting with ""Hi! I'm trying to help my second-grader with their English homework and they are studying the"", ""What are some of the"", ""Hi, I recently picked up a Marlin Model 60"", ""My local grocery store is selling some discounted burritos that have a ""use by"" date of"", ""Can I lie and say something was 1."	0.561063792677432	201	52	0.25870646766169153
62197	8	4.0	10	1	lethal_or_physical_violence	Requests for information or actions that are harmful, offensive, or promote illegal activities.	0.5606931585296725	125	40	0.32
26950	7	2.5	10	0	none	Hate speech, racism, and other harmful content.	0.5606023168267904	69	32	0.463768115942029
13294	7	3.0	2	1	hate_or_dehumanization	"The neuron is looking for the specific phrase ""as the ones that created Jazz""."	0.5605005741195622	69	32	0.463768115942029
45652	6	2.0	10	1	hate_or_dehumanization	"Incomplete questions or phrases, often ending with ""how can I"" or ""what's the best way to""."	0.5603152570456823	57	30	0.5263157894736842
47659	10	5.0	9	4	harassment_or_defamation	Questions or statements that are inappropriate, offensive, or express harmful intent.	0.5602444005174344	48	29	0.6041666666666666
31755	7	4.0	10	1	cyber_abuse	Questions that are inappropriate or harmful, often involving illegal activities, violence, or discrimination.	0.5601372073080333	125	40	0.32
60096	10	5.0	10	2	privacy_doxxing_or_tracking	Discussions of unethical or illegal activities, often framed as hypothetical scenarios or personal desires.	0.5601154052993417	105	37	0.3523809523809524
62367	9	3.0	10	2	fraud_theft_or_property_crime	Questions or statements expressing frustration, anger, or a desire for information, often with a negative or controversial undertone.	0.5596502957805847	72	32	0.4444444444444444
52480	10	3.0	10	3	fraud_theft_or_property_crime	Questions or statements that are incomplete or cut off at the end, often indicating a user's thought process or a prompt for further information.	0.5592723942965945	65	31	0.47692307692307695
41604	1	1.5	10	0	none	User queries that are personal and often involve sensitive or unusual situations, seeking advice or information.	0.5592433249516722	131	41	0.31297709923664124
13636	7	5.0	10	2	hate_or_dehumanization	"Open-ended questions, often starting with ""Why,"" ""What,"" ""How,"" or ""Is there any way to,"" that frequently lead to potentially harmful or inappropriate content."	0.5590943445589454	104	36	0.34615384615384615
